,Mapped_Route0,Mapped_Route1,Mapped_Route2,Mapped_Route3,Mapped_Route4,Mapped_Route5,Mapped_Route6,Mapped_Route7,Mapped_Route8,Mapped_Route9,Mapped_Route10,Mapped_Route11,Mapped_Route12,Mapped_Route13,Mapped_Route14,Mapped_Route15,Mapped_Route16,Mapped_Route17,Mapped_Route18,Mapped_Route19,Mapped_Route20,Mapped_Route21,Mapped_Route22,Mapped_Route23,Mapped_Route24,Mapped_Route25,Mapped_Route26,Mapped_Route27,Mapped_Route28,Mapped_Route29,Mapped_Route30,Mapped_Route31,Mapped_Route32,Mapped_Route33,Mapped_Route34,Mapped_Route35,Mapped_Route36,Mapped_Route37,Mapped_Route38,Mapped_Route39,Mapped_Route40,Mapped_Route41,Mapped_Route42,Mapped_Route43,Mapped_Route44,Mapped_Route45,Mapped_Route46
P13,안산-1462,안산-1156,안산-1213,안산-1403,,안산-102,안산-1010,안산-1366,안산-188,안산-1319,안산-1573,안산-318,안산-405,,안산-1471,안산-1748,안산-1316,안산-898,안산-841,안산-357,안산-1540,안산-1092,안산-743,안산-152,안산-1546,안산-1108,안산-294,,,,,안산-1703,안산-1648,,안산-1416,안산-116,안산-1405,안산-463,안산-516,안산-865,안산-715,안산-801,안산-390,안산-624,안산-547,안산-891,안산-1722
P14,안산-1447,안산-1184,안산-1205,안산-1406,,안산-130,안산-736,안산-1358,안산-192,안산-1357,안산-1598,안산-956,안산-408,,안산-1494,안산-1715,안산-1305,안산-936,안산-830,안산-438,안산-1544,안산-1042,안산-326,안산-159,안산-1557,안산-1583,안산-270,,,,,안산-1714,안산-1637,,안산-1424,안산-125,안산-1404,안산-491,안산-510,안산-820,안산-729,안산-813,안산-404,안산-645,안산-551,안산-890,안산-1746
P15,안산-1439,DP,안산-1234,,,안산-1015,안산-722,안산-1330,안산-186,안산-1364,안산-1506,안산-315,안산-96,,안산-1496,안산-1764,안산-1291,안산-842,안산-832,안산-440,안산-1476,안산-1056,안산-763,안산-160,안산-1549,안산-1603,안산-300,,,,,안산-1711,안산-1629,,안산-104,안산-126,안산-1383,안산-474,안산-528,안산-945,안산-725,안산-552,안산-388,안산-651,안산-538,안산-901,안산-1721
P16,안산-1438,안산-1384,안산-1196,,,안산-1014,안산-365,안산-1360,안산-181,안산-1043,안산-1548,안산-961,안산-95,,안산-1497,안산-1763,안산-1310,안산-937,안산-844,안산-436,안산-1531,안산-1098,안산-759,안산-161,,안산-1518,안산-296,,,,,안산-1705,,,,안산-118,,안산-482,안산-524,안산-705,안산-724,안산-555,안산-383,안산-648,안산-550,안산-912,안산-1342
P17,안산-1461,,안산-1244,,,안산-1017,안산-309,안산-1318,안산-179,안산-1064,안산-1591,안산-950,안산-100,,안산-1505,안산-1724,안산-1294,안산-809,안산-857,안산-437,안산-1541,안산-1100,,안산-165,,안산-1521,안산-269,,,,,안산-754,,,,안산-110,,안산-484,안산-507,안산-708,안산-727,안산-556,안산-386,안산-633,안산-799,안산-911,안산-1353
P18,안산-271,,안산-1228,,,,안산-1021,안산-1350,,안산-1088,안산-1582,안산-325,안산-98,,안산-1472,,안산-1312,,안산-860,안산-449,안산-1542,안산-1078,,,,,안산-303,,,,,,,,,,,안산-468,안산-518,안산-690,안산-732,안산-575,안산-372,안산-618,안산-793,안산-903,안산-1354
P19,안산-263,,안산-1224,,,,안산-988,안산-1341,,안산-1041,안산-1577,안산-322,안산-86,,안산-1490,,안산-1306,,안산-827,안산-448,안산-1535,안산-1079,,,,,안산-259,,,,,,,,,,,안산-485,안산-693,안산-696,안산-718,안산-570,안산-396,안산-630,안산-783,안산-900,안산-1057
P20,안산-257,,안산-1204,,,,,안산-1329,,안산-1069,안산-1566,안산-953,안산-434,,,,안산-1308,,,안산-1207,안산-1465,,,,,,,,,,,,,,,,,안산-464,안산-511,안산-689,안산-717,안산-579,안산-660,안산-614,안산-791,안산-812,안산-1049
P21,DP,,안산-1225,,,,,안산-1337,,안산-1031,안산-1565,안산-329,안산-762,,,,안산-1309,,,안산-1245,,,,,,,,,,,,,,,,,,,안산-684,안산-675,안산-712,안산-606,안산-659,안산-627,안산-797,안산-807,안산-1091
P22,안산-1512,,,,,,,안산-1062,,,,안산-764,안산-287,,,,,,,,,,,,,,,,,,,,,,,,,,안산-862,안산-928,,안산-593,안산-664,안산-653,안산-788,안산-819,안산-1068
